time,frame_id,fps,camera_us,vidConv_us,enc_us,rtpPay_us,udpStream_us,rtpDepay_us,dec_us,presentation_us,total_latency_us
2026-01-26 16:29:21.004315512,19693,66.00660066006601,16221,3292,6880,91,33251,75,17016,9986,86812
2026-01-26 16:29:21.050733569,19697,56.89576695493855,16382,2192,6043,83,4274,71,572,6284,35901
2026-01-26 16:29:21.051919060,19697,77.92410192472532,16382,2192,6043,83,4274,71,11674,7346,48065
2026-01-26 16:29:21.068501040,19697,65.19329812895235,16382,2192,6043,83,4274,71,30269,5931,65245
2026-01-26 16:29:21.070091220,19698,65.86747464102227,16630,2246,7044,106,32660,95,42215,4679,105675
2026-01-26 16:29:21.074623347,19700,68.49784231796698,16188,3584,10498,107,6758,45,9146,3982,50308
2026-01-26 16:29:21.093079071,19700,68.49784231796698,16188,3584,10498,107,6758,45,9146,17981,64307
2026-01-26 16:29:21.107541858,19700,104.14496979795877,16188,3584,10498,107,6758,45,27694,2080,66954
2026-01-26 16:29:21.123030289,19701,67.6132521974307,15533,2146,6361,78,37059,45,42483,1190,104895
2026-01-26 16:29:21.152744025,19702,69.18021445866482,17086,4518,5937,82,31311,104,42483,657,102178
2026-01-26 16:29:21.153845959,19703,68.54949273375377,17970,2203,6781,105,25082,97,6527,183,58948
2026-01-26 16:29:21.163895696,19703,68.54949273375377,17970,2203,6781,105,25082,97,8904,13995,75137
2026-01-26 16:29:21.178185836,19703,64.96459429610861,17970,2203,6781,105,25082,97,22999,12404,87641
2026-01-26 16:29:21.192219453,19706,71.72572084349447,16209,3213,6464,79,14702,66,3198,12430,56361
2026-01-26 16:29:21.205081469,19707,74.76076555023923,21875,3713,7592,86,15160,107,10950,12946,72429
2026-01-26 16:29:21.216524257,19707,67.29022273063724,21875,3713,7592,86,15160,107,1886,12002,62421
2026-01-26 16:29:21.226340863,19709,64.33350488934637,13598,3062,6196,80,7999,75,17240,10494,58744
2026-01-26 16:29:21.241471423,19710,72.30657989877079,14948,2647,6643,91,5600,56,2384,10540,42909
2026-01-26 16:29:21.254871989,19710,68.3667190811513,14948,2647,6643,91,5600,56,13345,9753,53083
2026-01-26 16:29:21.322472830,19711,71.70000717000072,17514,2241,7318,88,11884,65,3226,10011,52347
2026-01-26 16:29:21.323304930,19711,50.92946269416858,17514,2241,7318,88,11884,65,25966,4042,69118
